日付,カテゴリ,分類,メモ,金額
2013年10月31日,ATM引き出し,UFJ,リヨウキヨク10592,"-4,000 "
2013年10月31日,インターネット,UFJ,インタ-ネツトヒカリ ゲツガク,"-3,480 "
2013年10月31日,水道,UFJ,ゲスイシヨウリヨウ,"-3,352 "
2013年11月5日,給料,UFJ,シンワツウシンコウギヨウ(カ,"218,330 "
2013年11月6日,ローン,UFJ,ローン,"-68,764 "
2013年11月7日,ATM引き出し,UFJ,ATM 引き出し,"-30,000 "
2013年11月10日,ガソリン,UFJ,ナガヌマ エスエス,"-6,702 "
2013年11月11日,電気,UFJ,東京電力 1311 5016983030505,"-7,888 "
2013年11月15日,保険,UFJ,ケンミンキヨウサイ,"-10,000 "
2013年11月17日,灯油,UFJ,ナガヌマ エスエス（灯油）,"-3,348 "
2013年11月20日,電話,UFJ,NTT東日本 ご利用料金 12ガツブン,"-2,878 "
2013年11月21日,その他,UFJ,インテリアトレジャーランド,"-9,200 "
2013年11月21日,ガス,UFJ,トウキヨウガス 1195-614,"-4,656 "
2013年11月25日,その他,UFJ,トウカイメガネ.コンタクト,"-3,234 "
2013年11月26日,保険,UFJ,ソンポジヤパン,"-2,530 "
2013年11月26日,インターネット,UFJ,ヤフージャパン,-399 
2013年11月27日,カード返済,UFJ,ラクテンカードサービス,"-54,162 "
2013年11月27日,保険,UFJ,DF.メツトライフアリコ,"-6,580 "
2013年11月28日,管理費,UFJ,RKS(カンリヒトウ,"-18,380 "
2013年11月29日,水道,UFJ,チバケン スイドウ,"-5,420 "
2013年11月30日,携帯電話,UFJ,ドコモご利用料金 12ガツブン,"-20,661 "
2013年11月30日,インターネット,UFJ,インタ-ネツトヒカリ ゲツガク,"-3,480 "
2013年12月4日,カード返済,UFJ,セゾン,"-9,950 "
2013年12月5日,給料,UFJ,シンワツウシンコウギヨウ(カ,"239,446 "
2013年12月6日,ローン,UFJ,ローン,"-68,764 "
2013年12月7日,ATM引き出し,UFJ,ATM 引き出し,"-30,000 "
2013年12月10日,電気,UFJ,東京電力 1312 5016983030505,"-7,159 "
2013年12月12日,ATM引き出し,UFJ,ATM 引き出し,"-20,000 "
2013年12月15日,ATM引き出し,UFJ,ATM 引き出し,"-20,000 "
2013年12月16日,保険,UFJ,ケンミンキヨウサイ,"-10,000 "
2013年12月16日,ボーナス,UFJ,シンワツウシンコウギヨウ(カ,"500,659 "
2013年12月19日,ガス,UFJ,トウキヨウガス 1195-614,"-5,741 "
2013年12月19日,その他,UFJ,AMAZON.CO.JP,-398 
2013年12月20日,電話,UFJ,NTT東日本 ご利用料金 01ガツブン,"-2,274 "
2013年12月21日,ATM引き出し,UFJ,ATM 引き出し,"-30,000 "
2013年12月23日,ガソリン,UFJ,ナガヌマ エスエス,"-5,066 "
2013年12月23日,灯油,UFJ,ナガヌマ エスエス,"-1,728 "
2013年12月23日,その他,UFJ,AMAZON.CO.JP,-260 
2013年12月24日,ATM引き出し,UFJ,ATM 引き出し,"-30,000 "
2013年12月24日,手数料,UFJ,手数料,-105 
2013年12月25日,税金,UFJ,チバシコテイ,"-22,000 "
2013年12月26日,保険,UFJ,ソンポジヤパン,"-2,530 "
2013年12月26日,インターネット,UFJ,ヤフージャパン,-399 
2013年12月27日,振替,UFJ,ヤマザキ ユウキ,"-300,000 "
2013年12月27日,カード返済,UFJ,ラクテンカードサービス,"-54,848 "
2013年12月27日,保険,UFJ,DF.メツトライフアリコ,"-6,580 "
2013年12月27日,給料,UFJ,シンワツウシンコウギヨウ(カ,"214,192 "
2013年12月28日,その他,UFJ,グルーポン・ジャパン,"-2,000 "
2013年12月30日,管理費,UFJ,RKS(カンリヒトウ,"-18,380 "
2013年12月31日,ATM引き出し,UFJ,ATM 引き出し,"-50,000 "
2013年12月31日,携帯電話,UFJ,ドコモご利用料金 01ガツブン,"-14,350 "
2013年12月31日,インターネット,UFJ,インタ-ネツトヒカリ ゲツガク,"-3,480 "
2014年1月6日,ローン,UFJ,ローン,"-68,764 "
2014年1月6日,水道,UFJ,ゲスイシヨウリヨウ,"-3,238 "
2014年1月6日,カード返済,UFJ,セゾン,-850 
2014年1月10日,電気,UFJ,東京電力 1401 5016983030505,"-6,823 "
2014年1月12日,ATM引き出し,UFJ,ATM 引き出し,"-30,000 "
2014年1月12日,ガソリン,UFJ,ナガヌマ エスエス,"-5,698 "
2014年1月12日,灯油,UFJ,ナガヌマ エスエス,"-1,728 "
2014年1月15日,保険,UFJ,ケンミンキヨウサイ,"-10,000 "
2014年1月19日,ATM引き出し,UFJ,ATM 引き出し,"-30,000 "
2014年1月19日,手数料,UFJ,手数料,-210 
2014年1月20日,電話,UFJ,NTT東日本 ご利用料金 02ガツブン,"-2,157 "
2014年1月22日,ガス,UFJ,トウキヨウガス 1195-614,"-6,044 "
2014年1月22日,その他,UFJ,オルビス,"-2,630 "
2014年1月24日,灯油,UFJ,ナガヌマ エスエス,"-3,456 "
2014年1月25日,ATM引き出し,UFJ,ATM 引き出し,"-30,000 "
2014年1月27日,カード返済,UFJ,ラクテンカードサービス,"-43,630 "
2014年1月27日,保険,UFJ,DF.メツトライフアリコ,"-6,580 "
2014年1月27日,保険,UFJ,ソンポジヤパン,"-2,530 "
2014年1月27日,インターネット,UFJ,ヤフージャパン,-399 
2014年1月28日,管理費,UFJ,RKS(カンリヒトウ,"-18,790 "
2014年1月29日,水道,UFJ,チバケン スイドウ,"-5,260 "
2014年1月31日,携帯電話,UFJ,ドコモご利用料金 02ガツブン,"-15,701 "
2014年1月31日,インターネット,UFJ,インタ-ネツトヒカリ ゲツガク,"-3,480 "
2014年2月5日,給料,UFJ,シンワツウシンコウギヨウ(カ,"206,181 "
2014年2月6日,ローン,UFJ,ローン,"-68,764 "
2014年2月7日,ATM引き出し,UFJ,リヨウキヨク10592,"-30,000 "
2014年2月7日,電気,UFJ,東京電力 1402 5016983030505,"-6,545 "
2014年2月7日,手数料,UFJ,手数料,-105 
2014年2月11日,ATM引き出し,UFJ,ATM 引き出し,"-30,000 "
2014年2月16日,灯油,UFJ,ナガヌマ エスエス,"-3,456 "
2014年2月17日,保険,UFJ,ケンミンキヨウサイ,"-10,000 "
2014年2月17日,その他,UFJ,ラディカルベース楽天市場店,"-1,980 "
2014年2月17日,利息,UFJ,スーパーフツウ,13 
2014年2月20日,ガス,UFJ,トウキヨウガス 1195-614,"-5,908 "
2014年2月20日,電話,UFJ,NTT東日本 ご利用料金 03ガツブン,"-2,936 "
2014年2月22日,ATM引き出し,UFJ,イオンギンコウ,"-30,000 "
2014年2月22日,ガソリン,UFJ,ナガヌマ エスエス,"-5,620 "
2014年2月22日,手数料,UFJ,手数料,-105 
2014年2月26日,保険,UFJ,ソンポジヤパン,"-2,530 "
2014年2月26日,インターネット,UFJ,ヤフージャパン,-399 
2014年2月27日,カード返済,UFJ,ラクテンカードサービス,"-51,906 "
2014年2月27日,保険,UFJ,DF.メツトライフアリコ,"-6,580 "
2014年2月28日,管理費,UFJ,RKS(カンリヒトウ,"-18,790 "
2014年2月28日,携帯電話,UFJ,ドコモご利用料金 03ガツブン,"-18,015 "
2014年2月28日,インターネット,UFJ,インタ-ネツトヒカリ ゲツガク,"-3,480 "
2014年2月28日,水道,UFJ,ゲスイシヨウリヨウ,"-3,124 "
2014年3月4日,カード返済,UFJ,セゾン,"-3,000 "
2014年3月5日,給料,UFJ,シンワツウシンコウギヨウ(カ,"196,195 "
2014年3月6日,ローン,UFJ,ローン,"-68,764 "
2014年3月9日,ATM引き出し,UFJ,ATM 引き出し,"-30,000 "
2014年3月10日,電気,UFJ,東京電力 1403 5016983030505,"-7,603 "
2014年3月11日,ATM引き出し,UFJ,ATM 引き出し,"-20,000 "
2014年3月13日,ATM引き出し,UFJ,JRE?ATM,"-30,000 "
2014年3月13日,手数料,UFJ,手数料,-105 
2014年3月17日,保険,UFJ,ケンミンキヨウサイ,"-10,000 "
2014年3月20日,ガス,UFJ,トウキヨウガス 1195-614,"-6,139 "
2014年3月20日,電話,UFJ,NTT東日本 ご利用料金 04ガツブン,"-2,583 "
2014年3月23日,ガソリン,UFJ,ナガヌマ エスエス,"-6,548 "
2014年3月26日,保険,UFJ,ソンポジヤパン,"-2,530 "
2014年3月26日,インターネット,UFJ,ヤフージャパン,-399 
2014年3月27日,保険,UFJ,DF.メツトライフアリコ,"-6,580 "
2014年3月28日,管理費,UFJ,RKS(カンリヒトウ,"-18,790 "
2014年3月31日,携帯電話,UFJ,ドコモご利用料金 04ガツブン,"-15,579 "
2014年3月31日,水道,UFJ,チバケンスイドウ,"-4,000 "
2014年3月31日,インターネット,UFJ,インタ-ネツトヒカリ ゲツガク,"-3,480 "
2014年4月4日,給料,UFJ,シンワツウシンコウギヨウ(カ,"231,478 "
2014年4月6日,ATM引き出し,UFJ,ATM 引き出し,"-30,000 "
2014年4月7日,ローン,UFJ,ローン,"-68,764 "
2014年4月9日,電気,UFJ,東京電力 1404 5016983030505,"-6,425 "
2014年4月13日,ATM引き出し,UFJ,ATM 引き出し,"-30,000 "
2014年4月15日,保険,UFJ,ケンミンキヨウサイ,"-10,000 "
2014年4月20日,電話,UFJ,NTT東日本 ご利用料金 05ガツブン,"-2,384 "
2014年4月21日,ガス,UFJ,トウキヨウガス 1195-614,"-5,517 "
2014年4月24日,その他,UFJ,AMAZON.CO.JP,"-1,500 "
2014年4月28日,カード返済,UFJ,ラクテンカードサービス,"-44,721 "
2014年4月28日,管理費,UFJ,RKS(カンリヒトウ,"-18,790 "
2014年4月28日,保険,UFJ,DF.メツトライフアリコ,"-6,580 "
2014年4月28日,保険,UFJ,ソンポジヤパン,"-2,530 "
2014年4月28日,その他,UFJ,ニッセン,"-1,501 "
2014年4月28日,その他,UFJ,ニッセン,"-1,021 "
2014年4月28日,インターネット,UFJ,ヤフージャパン,-399 
2014年4月29日,ATM引き出し,UFJ,ATM 引き出し,"-20,000 "
2014年4月30日,携帯電話,UFJ,ドコモご利用料金 05ガツブン,"-16,579 "
2014年4月30日,インターネット,UFJ,インタ-ネツトヒカリ ゲツガク,"-3,580 "
2014年4月30日,水道,UFJ,ゲスイシヨウリヨウ,"-2,208 "
2014年5月2日,ボーナス,UFJ,シンワツウシンコウギヨウ(カ,"337,463 "
2014年5月3日,その他,UFJ,ニッセン,"-1,609 "
2014年5月3日,その他,UFJ,ニッセン,"-1,285 "
2014年5月4日,ガソリン,UFJ,ナガヌマ エスエス,"-4,771 "
2014年5月7日,ローン,UFJ,ローン,"-68,764 "
2014年5月9日,ATM引き出し,UFJ,ATM 引き出し,"-30,000 "
2014年5月10日,ATM引き出し,UFJ,イオンギンコウ,"-30,000 "
2014年5月10日,手数料,UFJ,手数料,-108 
2014年5月12日,電気,UFJ,東京電力 1405 5016983030505,"-6,287 "
2014年5月14日,その他,UFJ,ゴ ケイコウ,"-7,610 "
2014年5月15日,保険,UFJ,ケンミンキヨウサイ,"-10,000 "
2014年5月17日,ガソリン,UFJ,ナガヌマ エスエス,"-5,975 "
2014年5月18日,ATM引き出し,UFJ,ATM 引き出し,"-20,000 "
2014年5月20日,電話,UFJ,NTT東日本 ご利用料金 06ガツブン,"-2,301 "
2014年5月22日,ATM引き出し,UFJ,ATM 引き出し,"-30,000 "
2014年5月22日,ガス,UFJ,トウキヨウガス 1195-614,"-4,646 "
2014年5月26日,ATM引き出し,UFJ,ATM 引き出し,"-20,000 "
2014年5月26日,保険,UFJ,ソンポジヤパン,"-2,530 "
2014年5月26日,インターネット,UFJ,ヤフージャパン,-410 
2014年5月27日,カード返済,UFJ,ラクテンカードサービス,"-37,606 "
2014年5月27日,保険,UFJ,DF.メツトライフアリコ,"-6,580 "
2014年5月28日,管理費,UFJ,RKS(カンリヒトウ,"-18,790 "
2014年5月29日,水道,UFJ,チバケンスイドウ,"-4,940 "
2014年5月31日,携帯電話,UFJ,ドコモご利用料金 06ガツブン,"-14,815 "
2014年5月31日,インターネット,UFJ,インタ-ネツトヒカリ ゲツガク,"-3,580 "
2014年6月1日,ATM引き出し,UFJ,ATM 引き出し,"-20,000 "
2014年6月4日,カード返済,UFJ,セゾン,"-1,950 "
2014年6月5日,ATM引き出し,UFJ,ATM 引き出し,"-30,000 "
2014年6月5日,手数料,UFJ,手数料,-216 
2014年6月5日,給料,UFJ,シンワツウシンコウギヨウ(カ,"268,227 "
2014年6月6日,ローン,UFJ,ローン,"-68,764 "
2014年6月9日,電気,UFJ,東京電力 1406 5016983030505,"-5,657 "
2014年6月11日,ATM引き出し,UFJ,ATM 引き出し,"-30,000 "
2014年6月14日,ガソリン,UFJ,ナガヌマ エスエス,"-4,716 "
2014年6月14日,その他,UFJ,グルーポン・ジャパン,"-1,600 "
2014年6月15日,ATM引き出し,UFJ,ATM 引き出し,"-30,000 "
2014年6月15日,手数料,UFJ,手数料,-216 
2014年6月16日,保険,UFJ,ケンミンキヨウサイ,"-10,000 "
2014年6月18日,車,UFJ,JAFネンカイヒ,"-4,000 "
2014年6月20日,ガス,UFJ,トウキヨウガス 1195-614,"-3,845 "
2014年6月20日,電話,UFJ,NTT東日本 ご利用料金 07ガツブン,"-2,306 "
2014年6月20日,その他,UFJ,オルビス,"-1,615 "
2014年6月23日,ATM引き出し,UFJ,ATM 引き出し,"-30,000 "
2014年6月26日,保険,UFJ,ソンポジヤパン,"-2,530 "
2014年6月26日,インターネット,UFJ,ヤフージャパン,-410 
2014年6月27日,カード返済,UFJ,ラクテンカードサービス,"-47,116 "
2014年6月27日,保険,UFJ,DF.メツトライフアリコ,"-6,580 "
2014年6月28日,その他,UFJ,グルーポン・ジャパン,"-1,000 "
2014年6月29日,ATM引き出し,UFJ,ATM 引き出し,"-10,000 "
2014年6月30日,管理費,UFJ,RKS(カンリヒトウ,"-18,790 "
2014年6月30日,携帯電話,UFJ,ドコモご利用料金 07ガツブン,"-15,099 "
2014年6月30日,インターネット,UFJ,インタ-ネツトヒカリ ゲツガク,"-3,580 "
2014年6月30日,水道,UFJ,ゲスイシヨウリヨウ,"-2,926 "
2014年7月4日,ATM引き出し,UFJ,ATM 引き出し,"-30,000 "
2014年7月4日,ATM引き出し,UFJ,ATM 引き出し,"-10,000 "
2014年7月4日,カード返済,UFJ,セゾン,-340 
2014年7月4日,手数料,UFJ,手数料,-108 
2014年7月4日,給料,UFJ,シンワツウシンコウギヨウ(カ,"244,960 "
2014年7月6日,ガソリン,UFJ,ナガヌマ エスエス,"-5,335 "
2014年7月7日,ローン,UFJ,ローン,"-68,764 "
2014年7月9日,電気,UFJ,東京電力 1407 5016983030505,"-6,757 "
2014年7月12日,ATM引き出し,UFJ,ATM 引き出し,"-30,000 "
2014年7月12日,手数料,UFJ,手数料,-216 
2014年7月15日,保険,UFJ,生命保険,"-10,000 "
2014年7月15日,ボーナス,UFJ,シンワツウシンコウギヨウ(カ,"459,630 "
2014年7月17日,振替,UFJ,ヤマザキ ユウキ,"-400,000 "
2014年7月19日,ATM引き出し,UFJ,ATM 引き出し,"-30,000 "
2014年7月19日,手数料,UFJ,手数料,-216 
2014年7月20日,電話,UFJ,NTT東日本 ご利用料金 08ガツブン,"-2,568 "
2014年7月21日,ATM引き出し,UFJ,ATM 引き出し,"-30,000 "
2014年7月22日,ガス,UFJ,トウキヨウガス 1195-614,"-3,150 "
2014年7月22日,その他,UFJ,デイ?ライズ(カ,"-1,600 "
2014年7月25日,ATM引き出し,UFJ,ATM 引き出し,"-30,000 "
2014年7月28日,カード返済,UFJ,ラクテンカードサービス,"-39,129 "
2014年7月28日,管理費,UFJ,RKS(カンリヒトウ,"-18,790 "
2014年7月28日,保険,UFJ,DF.メツトライフホケン,"-6,580 "
2014年7月28日,保険,UFJ,ソンポジヤパン,"-2,530 "
2014年7月28日,インターネット,UFJ,ヤフージャパン,-410 
2014年7月29日,水道,UFJ,チバケンスイドウ,"-5,080 "
2014年7月31日,携帯電話,UFJ,ドコモご利用料金 08ガツブン,"-15,176 "
2014年7月31日,インターネット,UFJ,インタ-ネツトヒカリ ゲツガク,"-3,580 "
2014年8月1日,保険,UFJ,ケンミンキヨウサイ セ,"28,920 "
2014年8月3日,ATM引き出し,UFJ,ATM 引き出し,"-30,000 "
2014年8月3日,ガソリン,UFJ,ナガヌマ エスエス,"-5,685 "
2014年8月5日,給料,UFJ,シンワツウシンコウギヨウ(カ,"244,961 "
2014年8月6日,ローン,UFJ,ローン,"-68,764 "
2014年8月8日,電気,UFJ,東京電力 1408 5016983030505,"-7,497 "
2014年8月10日,ATM引き出し,UFJ,ATM 引き出し,"-50,000 "
2014年8月10日,手数料,UFJ,手数料,-216 
2014年8月14日,ATM引き出し,UFJ,ATM 引き出し,"-40,000 "
2014年8月14日,ガソリン,UFJ,シヨウワシエルセキユ,"-6,698 "
2014年8月14日,手数料,UFJ,手数料,-216 
2014年8月15日,旅行,UFJ,楽天トラベル国内宿泊(チェック 731333,"-11,300 "
2014年8月15日,保険,UFJ,ケンミンキヨウサイ,"-10,000 "
2014年8月15日,ガソリン,UFJ,ナガヌマ エスエス,"-6,381 "
2014年8月16日,その他,UFJ,AMAZON.CO.JP,"-1,318 "
2014年8月18日,利息,UFJ,スーパーフツウ,10 
2014年8月20日,その他,UFJ,wakasugi楽天市場店760002,"-2,706 "
2014年8月20日,電話,UFJ,NTT東日本 ご利用料金 09ガツブン,"-2,688 "
2014年8月21日,ガス,UFJ,トウキヨウガス 1195-614,"-2,625 "
2014年8月26日,保険,UFJ,ソンポジヤパン,"-2,530 "
2014年8月26日,インターネット,UFJ,ヤフージャパン,-410 
2014年8月27日,カード返済,UFJ,ラクテンカードサービス,"-36,227 "
2014年8月27日,保険,UFJ,DF.メツトライフホケン,"-6,580 "
2014年8月27日,その他,UFJ,上海問屋760074,"-3,414 "
2014年8月28日,管理費,UFJ,RKS(カンリヒトウ,"-18,790 "
2014年8月31日,携帯電話,UFJ,ドコモご利用料金 09ガツブン,"-15,150 "
2014年8月31日,インターネット,UFJ,インタ-ネツトヒカリ ゲツガク,"-3,580 "
2014年9月1日,水道,UFJ,ゲスイシヨウリヨウ,"-3,036 "
2014年9月5日,給料,UFJ,シンワツウシンコウギヨウ(カ,"227,161 "
2014年9月6日,ATM引き出し,UFJ,ATM 引き出し,"-40,000 "
2014年9月8日,ローン,UFJ,ローン,"-68,764 "
2014年9月8日,電気,UFJ,東京電力 1409 5016983030505,"-6,944 "
2014年9月13日,ガソリン,UFJ,ナガヌマ エスエス,"-4,937 "
2014年9月14日,その他,UFJ,Zeleshop760020,-560 
2014年9月16日,保険,UFJ,ケンミンキヨウサイ,"-10,000 "
2014年9月19日,ガス,UFJ,トウキヨウガス 1195-614,"-3,127 "
2014年9月20日,電話,UFJ,NTT東日本 ご利用料金 10ガツブン,"-2,978 "
2014年9月23日,ガソリン,UFJ,ナガヌマ エスエス,"-6,473 "
2014年9月26日,保険,UFJ,ソンポジヤパン,"-2,530 "
2014年9月26日,インターネット,UFJ,ヤフージャパン,-410 
2014年9月27日,ATM引き出し,UFJ,ATM 引き出し,"-15,000 "
2014年9月29日,カード返済,UFJ,ラクテンカードサービス,"-65,534 "
2014年9月29日,管理費,UFJ,RKS(カンリヒトウ,"-18,790 "
2014年9月29日,保険,UFJ,DF.メツトライフホケン,"-6,580 "
2014年9月29日,水道,UFJ,チバケンスイドウ,"-5,080 "
2014年9月30日,携帯電話,UFJ,ドコモご利用料金 10ガツブン,"-16,839 "
2014年9月30日,インターネット,UFJ,インタ-ネツトヒカリ ゲツガク,"-3,580 "
2014年10月3日,給料,UFJ,シンワツウシンコウギヨウ(カ,"235,791 "
2014年10月4日,ATM引き出し,UFJ,イオンギンコウ,"-50,000 "
2014年10月4日,手数料,UFJ,手数料,-108 
2014年10月6日,ローン,UFJ,ローン,"-68,764 "
2014年10月6日,カード返済,UFJ,セゾン,"-6,200 "
2014年10月8日,電気,UFJ,東京電力 1410 5016983030505,"-6,031 "
2014年10月10日,ガソリン,UFJ,JASSフジミダイニ,"-8,443 "
2014年10月12日,旅行,UFJ,楽天トラベル国内宿泊(チェック 749343,"-7,900 "
2014年10月15日,保険,UFJ,ケンミンキヨウサイ,"-10,000 "
2014年10月20日,電話,UFJ,NTT東日本 ご利用料金 11ガツブン,"-2,344 "
2014年10月21日,その他,UFJ,オルビス,"-2,414 "
2014年10月22日,ガス,UFJ,トウキヨウガス 1195-614,"-3,446 "
2014年10月27日,カード返済,UFJ,ラクテンカードサービス,"-46,873 "
2014年10月27日,保険,UFJ,DF.メツトライフホケン,"-6,580 "
2014年10月27日,その他,UFJ,AMAZON.CO.JP,"-4,448 "
2014年10月27日,保険,UFJ,ソンポジヤパン,"-2,530 "
2014年10月27日,インターネット,UFJ,ヤフージャパン,-410 
2014年10月28日,管理費,UFJ,RKS(カンリヒトウ,"-18,790 "
2014年10月31日,携帯電話,UFJ,ドコモご利用料金 11ガツブン,"-15,222 "
2014年10月31日,インターネット,UFJ,インタ-ネツトヒカリ ゲツガク,"-3,580 "
2014年10月31日,水道,UFJ,ゲスイシヨウリヨウ,"-3,036 "
2014年11月4日,カード返済,UFJ,セゾン,"-5,450 "
2014年11月5日,ATM引き出し,UFJ,ATM 引き出し,"-30,000 "
2014年11月5日,給料,UFJ,シンワツウシンコウギヨウ(カ,"222,698 "
2014年11月6日,ローン,UFJ,ローン,"-68,764 "
2014年11月8日,電気,UFJ,東京電力 1411 5016983030505,"-6,828 "
2014年11月9日,ATM引き出し,UFJ,ATM 引き出し,"-30,000 "
2014年11月16日,ガソリン,UFJ,ナガヌマ エスエス,"-5,864 "
2014年11月17日,保険,UFJ,ケンミンキヨウサイ,"-10,000 "
2014年11月20日,ガス,UFJ,トウキヨウガス 1195-614,"-4,726 "
2014年11月20日,電話,UFJ,NTT東日本 ご利用料金 12ガツブン,"-2,317 "
2014年11月26日,保険,UFJ,ソンポジヤパン,"-2,530 "
2014年11月26日,インターネット,UFJ,ヤフージャパン,-410 
2014年11月27日,カード返済,UFJ,ラクテンカードサービス,"-56,079 "
2014年11月27日,保険,UFJ,DF.メツトライフホケン,"-6,580 "
2014年11月28日,管理費,UFJ,RKS(カンリヒトウ,"-18,790 "
2014年11月28日,灯油,UFJ,ナガヌマ エスエス,"-3,132 "
2014年11月30日,携帯電話,UFJ,ドコモご利用料金 12ガツブン,"-15,820 "
2014年11月30日,インターネット,UFJ,インタ-ネツトヒカリ ゲツガク,"-3,580 "
2014年12月1日,水道,UFJ,チバケンスイドウ,"-5,080 "
2014年12月4日,カード返済,UFJ,セゾン,"-1,940 "
2014年12月5日,給料,UFJ,シンワツウシンコウギヨウ(カ,"218,273 "
2014年12月7日,ガソリン,UFJ,ナガヌマ エスエス,"-5,270 "
2014年12月8日,ローン,UFJ,ローン,"-68,764 "
2014年12月9日,電気,UFJ,東京電力 1412 5016983030505,"-7,654 "
2014年12月10日,ATM引き出し,UFJ,ATM 引き出し,"-30,000 "
2014年12月14日,ATM引き出し,UFJ,ATM 引き出し,"-30,000 "
2014年12月15日,振替,UFJ,ヤマザキ ユウキ,"-400,000 "
2014年12月15日,保険,UFJ,ケンミンキヨウサイ,"-10,000 "
2014年12月15日,ボーナス,UFJ,シンワツウシンコウギヨウ(カ,"556,500 "
2014年12月18日,ガス,UFJ,トウキヨウガス 1195-614,"-5,025 "
2014年12月18日,その他,UFJ,楽天ブックス 754908,"-4,576 "
2014年12月20日,ATM引き出し,UFJ,ATM 引き出し,"-30,000 "
2014年12月20日,電話,UFJ,NTT東日本 ご利用料金 01ガツブン,"-2,179 "
2014年12月21日,灯油,UFJ,ナガヌマ エスエス,"-2,700 "
2014年12月23日,ATM引き出し,UFJ,イオンギンコウ,"-30,000 "
2014年12月23日,手数料,UFJ,手数料,-108 
2014年12月25日,税金,UFJ,チバシコテイ,"-22,000 "
2014年12月26日,保険,UFJ,ソンポジヤパン,"-2,530 "
2014年12月26日,インターネット,UFJ,ヤフージャパン,-410 
2014年12月26日,給料,UFJ,シンワツウシンコウギヨウ(カ,"212,558 "
