日付,カテゴリ,分類,メモ,金額,,
2014/2/17,利息,UFJ,スーパーフツウ,13,,
2014/2/17,その他,楽天カード,ラディカルベース楽天市場店,"-1,980",,
2014/2/20,電話,楽天カード,NTT東日本 ご利用料金 03ガツブン,"-2,936",,
2014/2/20,ガス,楽天カード,トウキヨウガス 1195-614,"-5,908",,
2014/2/22,ATM引き出し,UFJ,イオンギンコウ,"-30,000",,
2014/2/22,手数料,UFJ,手数料,-105,,
2014/2/22,ガソリン,楽天カード,ナガヌマ エスエス,"-5,620",,
2014/2/26,保険,UFJ,ソンポジヤパン,"-2,530",,
2014/2/26,インターネット,UFJ,ヤフージャパン,-399,,
2014/2/27,保険,UFJ,DF.メツトライフアリコ,"-6,580",,
2014/2/27,カード返済,UFJ,ラクテンカードサービス,"-51,906",,
2014/2/28,管理費,UFJ,RKS(カンリヒトウ,"-18,790",,
2014/2/28,水道,UFJ,ゲスイシヨウリヨウ,"-3,124",,
2014/2/28,インターネット,楽天カード,インタ-ネツトヒカリ ゲツガク,"-3,480",,
2014/2/28,携帯電話,楽天カード,ドコモご利用料金 03ガツブン,"-18,015",,
2014/3/4,カード返済,UFJ,セゾン,"-3,000",,
2014/3/5,給料,UFJ,シンワツウシンコウギヨウ(カ,"196,195",,
2014/3/6,ローン,UFJ,ローン,"-68,764",,
2014/3/9,ATM引き出し,UFJ,ATM 引き出し,"-30,000",,
2014/3/10,電気,楽天カード,東京電力 1403 5016983030505,"-7,603",,
2014/3/11,ATM引き出し,UFJ,ATM 引き出し,"-20,000",,
2014/3/13,ATM引き出し,UFJ,JRE?ATM,"-30,000",,
2014/3/13,手数料,UFJ,手数料,-105,,
2014/3/17,保険,UFJ,ケンミンキヨウサイ,"-10,000",,
2014/3/20,電話,楽天カード,NTT東日本 ご利用料金 04ガツブン,"-2,583",,
2014/3/20,ガス,楽天カード,トウキヨウガス 1195-614,"-6,139",,
2014/3/23,ガソリン,楽天カード,ナガヌマ エスエス,"-6,548",,
2014/3/26,保険,UFJ,ソンポジヤパン,"-2,530",,
2014/3/26,インターネット,UFJ,ヤフージャパン,-399,,
2014/3/27,保険,UFJ,DF.メツトライフアリコ,"-6,580",,
2014/3/28,管理費,UFJ,RKS(カンリヒトウ,"-18,790",,
2014/3/31,水道,UFJ,チバケンスイドウ,"-4,000",,
2014/3/31,インターネット,楽天カード,インタ-ネツトヒカリ ゲツガク,"-3,480",,
2014/3/31,携帯電話,楽天カード,ドコモご利用料金 04ガツブン,"-15,579",,
2014/4/4,給料,UFJ,シンワツウシンコウギヨウ(カ,"231,478",,
2014/4/6,ATM引き出し,UFJ,ATM 引き出し,"-30,000",,
2014/4/7,ローン,UFJ,ローン,"-68,764",,
2014/4/9,電気,楽天カード,東京電力 1404 5016983030505,"-6,425",,
2014/4/13,ATM引き出し,UFJ,ATM 引き出し,"-30,000",,
2014/4/15,保険,UFJ,ケンミンキヨウサイ,"-10,000",,
2014/4/20,電話,楽天カード,NTT東日本 ご利用料金 05ガツブン,"-2,384",,
2014/4/21,ガス,楽天カード,トウキヨウガス 1195-614,"-5,517",,
2014/4/24,その他,楽天カード,AMAZON.CO.JP,"-1,500",,
2014/4/28,保険,UFJ,DF.メツトライフアリコ,"-6,580",,
2014/4/28,管理費,UFJ,RKS(カンリヒトウ,"-18,790",,
2014/4/28,保険,UFJ,ソンポジヤパン,"-2,530",,
2014/4/28,インターネット,UFJ,ヤフージャパン,-399,,
2014/4/28,カード返済,UFJ,ラクテンカードサービス,"-44,721",,
2014/4/28,その他,楽天カード,ニッセン,"-1,021",,
2014/4/28,その他,楽天カード,ニッセン,"-1,501",,
2014/4/29,ATM引き出し,UFJ,ATM 引き出し,"-20,000",,
2014/4/30,水道,UFJ,ゲスイシヨウリヨウ,"-2,208",,
2014/4/30,インターネット,楽天カード,インタ-ネツトヒカリ ゲツガク,"-3,580",,
2014/4/30,携帯電話,楽天カード,ドコモご利用料金 05ガツブン,"-16,579",,
2014/5/2,ボーナス,UFJ,シンワツウシンコウギヨウ(カ,"337,463",,
2014/5/3,その他,楽天カード,ニッセン,"-1,285",,
2014/5/3,その他,楽天カード,ニッセン,"-1,609",,
2014/5/4,ガソリン,楽天カード,ナガヌマ エスエス,"-4,771",,
2014/5/7,ローン,UFJ,ローン,"-68,764",,
2014/5/9,ATM引き出し,UFJ,ATM 引き出し,"-30,000",,
2014/5/10,ATM引き出し,UFJ,イオンギンコウ,"-30,000",,
2014/5/10,手数料,UFJ,手数料,-108,,
2014/5/12,電気,楽天カード,東京電力 1405 5016983030505,"-6,287",,
2014/5/14,その他,UFJ,ゴ ケイコウ,"-7,610",,
2014/5/15,保険,UFJ,ケンミンキヨウサイ,"-10,000",,
2014/5/17,ガソリン,楽天カード,ナガヌマ エスエス,"-5,975",,
2014/5/18,ATM引き出し,UFJ,ATM 引き出し,"-20,000",,
2014/5/20,電話,楽天カード,NTT東日本 ご利用料金 06ガツブン,"-2,301",,
2014/5/22,ATM引き出し,UFJ,ATM 引き出し,"-30,000",,
2014/5/22,ガス,楽天カード,トウキヨウガス 1195-614,"-4,646",,
2014/5/26,ATM引き出し,UFJ,ATM 引き出し,"-20,000",,
2014/5/26,保険,UFJ,ソンポジヤパン,"-2,530",,
2014/5/26,インターネット,UFJ,ヤフージャパン,-410,,
2014/5/27,保険,UFJ,DF.メツトライフアリコ,"-6,580",,
2014/5/27,カード返済,UFJ,ラクテンカードサービス,"-37,606",,
2014/5/28,管理費,UFJ,RKS(カンリヒトウ,"-18,790",,
2014/5/29,水道,UFJ,チバケンスイドウ,"-4,940",,
2014/5/31,インターネット,楽天カード,インタ-ネツトヒカリ ゲツガク,"-3,580",,
2014/5/31,携帯電話,楽天カード,ドコモご利用料金 06ガツブン,"-14,815",,
2014/6/1,ATM引き出し,UFJ,ATM 引き出し,"-20,000",,
2014/6/4,カード返済,UFJ,セゾン,"-1,950",,
2014/6/5,ATM引き出し,UFJ,ATM 引き出し,"-30,000",,
2014/6/5,給料,UFJ,シンワツウシンコウギヨウ(カ,"268,227",,
2014/6/5,手数料,UFJ,手数料,-216,,
2014/6/6,ローン,UFJ,ローン,"-68,764",,
2014/6/9,電気,楽天カード,東京電力 1406 5016983030505,"-5,657",,
2014/6/11,ATM引き出し,UFJ,ATM 引き出し,"-30,000",,
2014/6/14,その他,楽天カード,グルーポン・ジャパン,"-1,600",,
2014/6/14,ガソリン,楽天カード,ナガヌマ エスエス,"-4,716",,
2014/6/15,ATM引き出し,UFJ,ATM 引き出し,"-30,000",,
2014/6/15,手数料,UFJ,手数料,-216,,
2014/6/16,保険,UFJ,ケンミンキヨウサイ,"-10,000",,
2014/6/18,車,UFJ,JAFネンカイヒ,"-4,000",,
2014/6/20,電話,楽天カード,NTT東日本 ご利用料金 07ガツブン,"-2,306",,
2014/6/20,その他,楽天カード,オルビス,"-1,615",,
2014/6/20,ガス,楽天カード,トウキヨウガス 1195-614,"-3,845",,
2014/6/23,ATM引き出し,UFJ,ATM 引き出し,"-30,000",,
2014/6/26,保険,UFJ,ソンポジヤパン,"-2,530",,
2014/6/26,インターネット,UFJ,ヤフージャパン,-410,,
2014/6/27,保険,UFJ,DF.メツトライフアリコ,"-6,580",,
2014/6/27,カード返済,UFJ,ラクテンカードサービス,"-47,116",,
2014/6/28,その他,楽天カード,グルーポン・ジャパン,"-1,000",,
2014/6/29,ATM引き出し,UFJ,ATM 引き出し,"-10,000",,
2014/6/30,管理費,UFJ,RKS(カンリヒトウ,"-18,790",,
2014/6/30,水道,UFJ,ゲスイシヨウリヨウ,"-2,926",,
2014/6/30,インターネット,楽天カード,インタ-ネツトヒカリ ゲツガク,"-3,580",,
2014/6/30,携帯電話,楽天カード,ドコモご利用料金 07ガツブン,"-15,099",,
2014/7/4,ATM引き出し,UFJ,ATM 引き出し,"-10,000",,
2014/7/4,ATM引き出し,UFJ,ATM 引き出し,"-30,000",,
2014/7/4,給料,UFJ,シンワツウシンコウギヨウ(カ,"244,960",,
2014/7/4,カード返済,UFJ,セゾン,-340,,
2014/7/4,手数料,UFJ,手数料,-108,,
2014/7/6,ガソリン,楽天カード,ナガヌマ エスエス,"-5,335",,
2014/7/7,ローン,UFJ,ローン,"-68,764",,
2014/7/9,電気,楽天カード,東京電力 1407 5016983030505,"-6,757",,
2014/7/12,ATM引き出し,UFJ,ATM 引き出し,"-30,000",,
2014/7/12,手数料,UFJ,手数料,-216,,
2014/7/15,ボーナス,UFJ,シンワツウシンコウギヨウ(カ,"459,630",,
2014/7/15,保険,UFJ,生命保険,"-10,000",,
2014/7/17,振替,UFJ,ヤマザキ ユウキ,"-400,000",,
2014/7/19,ATM引き出し,UFJ,ATM 引き出し,"-30,000",,
2014/7/19,手数料,UFJ,手数料,-216,,
2014/7/20,電話,楽天カード,NTT東日本 ご利用料金 08ガツブン,"-2,568",,
2014/7/21,ATM引き出し,UFJ,ATM 引き出し,"-30,000",,
2014/7/22,その他,UFJ,デイ?ライズ(カ,"-1,600",,
2014/7/22,ガス,楽天カード,トウキヨウガス 1195-614,"-3,150",,
2014/7/25,ATM引き出し,UFJ,ATM 引き出し,"-30,000",,
2014/7/28,保険,UFJ,DF.メツトライフホケン,"-6,580",,
2014/7/28,管理費,UFJ,RKS(カンリヒトウ,"-18,790",,
2014/7/28,保険,UFJ,ソンポジヤパン,"-2,530",,
2014/7/28,インターネット,UFJ,ヤフージャパン,-410,,
2014/7/28,カード返済,UFJ,ラクテンカードサービス,"-39,129",,
2014/7/29,水道,UFJ,チバケンスイドウ,"-5,080",,
2014/7/31,インターネット,楽天カード,インタ-ネツトヒカリ ゲツガク,"-3,580",,
2014/7/31,携帯電話,楽天カード,ドコモご利用料金 08ガツブン,"-15,176",,
2014/8/1,保険,UFJ,ケンミンキヨウサイ セ,"28,920",,
2014/8/3,ATM引き出し,UFJ,ATM 引き出し,"-30,000",,
2014/8/3,ガソリン,楽天カード,ナガヌマ エスエス,"-5,685",,
2014/8/5,給料,UFJ,シンワツウシンコウギヨウ(カ,"244,961",,
2014/8/6,ローン,UFJ,ローン,"-68,764",,
2014/8/8,電気,楽天カード,東京電力 1408 5016983030505,"-7,497",,
2014/8/10,ATM引き出し,UFJ,ATM 引き出し,"-50,000",,
2014/8/10,手数料,UFJ,手数料,-216,,
2014/8/14,ATM引き出し,UFJ,ATM 引き出し,"-40,000",,
2014/8/14,手数料,UFJ,手数料,-216,,
2014/8/14,ガソリン,楽天カード,シヨウワシエルセキユ,"-6,698",,
2014/8/15,保険,UFJ,ケンミンキヨウサイ,"-10,000",,
2014/8/15,ガソリン,楽天カード,ナガヌマ エスエス,"-6,381",,
2014/8/15,旅行,楽天カード,楽天トラベル国内宿泊(チェック 731333,"-11,300",,
2014/8/16,その他,楽天カード,AMAZON.CO.JP,"-1,318",,
2014/8/18,利息,UFJ,スーパーフツウ,10,,
2014/8/20,電話,楽天カード,NTT東日本 ご利用料金 09ガツブン,"-2,688",,
2014/8/20,その他,楽天カード,wakasugi楽天市場店760002,"-2,706",,
2014/8/21,ガス,楽天カード,トウキヨウガス 1195-614,"-2,625",,
2014/8/26,保険,UFJ,ソンポジヤパン,"-2,530",,
2014/8/26,インターネット,UFJ,ヤフージャパン,-410,,
2014/8/27,保険,UFJ,DF.メツトライフホケン,"-6,580",,
2014/8/27,カード返済,UFJ,ラクテンカードサービス,"-36,227",,
2014/8/27,その他,楽天カード,上海問屋760074,"-3,414",,
2014/8/28,管理費,UFJ,RKS(カンリヒトウ,"-18,790",,
2014/8/31,インターネット,楽天カード,インタ-ネツトヒカリ ゲツガク,"-3,580",,
2014/8/31,携帯電話,楽天カード,ドコモご利用料金 09ガツブン,"-15,150",,
2014/9/1,水道,UFJ,ゲスイシヨウリヨウ,"-3,036",,
2014/9/5,給料,UFJ,シンワツウシンコウギヨウ(カ,"227,161",,
2014/9/6,ATM引き出し,UFJ,ATM 引き出し,"-40,000",,
2014/9/8,ローン,UFJ,ローン,"-68,764",,
2014/9/8,電気,楽天カード,東京電力 1409 5016983030505,"-6,944",,
2014/9/13,ガソリン,楽天カード,ナガヌマ エスエス,"-4,937",,
2014/9/14,その他,楽天カード,Zeleshop760020,-560,,
2014/9/16,保険,UFJ,ケンミンキヨウサイ,"-10,000",,
2014/9/19,ガス,楽天カード,トウキヨウガス 1195-614,"-3,127",,
2014/9/20,電話,楽天カード,NTT東日本 ご利用料金 10ガツブン,"-2,978",,
2014/9/23,ガソリン,楽天カード,ナガヌマ エスエス,"-6,473",,
2014/9/26,保険,UFJ,ソンポジヤパン,"-2,530",,
2014/9/26,インターネット,UFJ,ヤフージャパン,-410,,
2014/9/27,ATM引き出し,UFJ,ATM 引き出し,"-15,000",,
2014/9/29,保険,UFJ,DF.メツトライフホケン,"-6,580",,
2014/9/29,管理費,UFJ,RKS(カンリヒトウ,"-18,790",,
2014/9/29,水道,UFJ,チバケンスイドウ,"-5,080",,
2014/9/29,カード返済,UFJ,ラクテンカードサービス,"-65,534",,
2014/9/30,インターネット,楽天カード,インタ-ネツトヒカリ ゲツガク,"-3,580",,
2014/9/30,携帯電話,楽天カード,ドコモご利用料金 10ガツブン,"-16,839",,
2014/10/3,給料,UFJ,シンワツウシンコウギヨウ(カ,"235,791",,
2014/10/4,ATM引き出し,UFJ,イオンギンコウ,"-50,000",,
2014/10/4,手数料,UFJ,手数料,-108,,
2014/10/6,カード返済,UFJ,セゾン,"-6,200",,
2014/10/6,ローン,UFJ,ローン,"-68,764",,
2014/10/8,電気,楽天カード,東京電力 1410 5016983030505,"-6,031",,
2014/10/10,ガソリン,楽天カード,JASSフジミダイニ,"-8,443",,
2014/10/12,旅行,楽天カード,楽天トラベル国内宿泊(チェック 749343,"-7,900",,
2014/10/15,保険,UFJ,ケンミンキヨウサイ,"-10,000",,
2014/10/20,電話,楽天カード,NTT東日本 ご利用料金 11ガツブン,"-2,344",,
2014/10/21,その他,楽天カード,オルビス,"-2,414",,
2014/10/22,ガス,楽天カード,トウキヨウガス 1195-614,"-3,446",,
2014/10/27,保険,UFJ,DF.メツトライフホケン,"-6,580",,
2014/10/27,保険,UFJ,ソンポジヤパン,"-2,530",,
2014/10/27,インターネット,UFJ,ヤフージャパン,-410,,
2014/10/27,カード返済,UFJ,ラクテンカードサービス,"-46,873",,
2014/10/27,その他,楽天カード,AMAZON.CO.JP,"-4,448",,
2014/10/28,管理費,UFJ,RKS(カンリヒトウ,"-18,790",,
2014/10/31,水道,UFJ,ゲスイシヨウリヨウ,"-3,036",,
2014/10/31,インターネット,楽天カード,インタ-ネツトヒカリ ゲツガク,"-3,580",,
2014/10/31,携帯電話,楽天カード,ドコモご利用料金 11ガツブン,"-15,222",,
2014/11/4,カード返済,UFJ,セゾン,"-5,450",,
2014/11/5,ATM引き出し,UFJ,ATM 引き出し,"-30,000",,
2014/11/5,給料,UFJ,シンワツウシンコウギヨウ(カ,"222,698",,
2014/11/6,ローン,UFJ,ローン,"-68,764",,
2014/11/8,電気,楽天カード,東京電力 1411 5016983030505,"-6,828",,
2014/11/9,ATM引き出し,UFJ,ATM 引き出し,"-30,000",,
2014/11/16,ガソリン,楽天カード,ナガヌマ エスエス,"-5,864",,
2014/11/17,保険,UFJ,ケンミンキヨウサイ,"-10,000",,
2014/11/20,電話,楽天カード,NTT東日本 ご利用料金 12ガツブン,"-2,317",,
2014/11/20,ガス,楽天カード,トウキヨウガス 1195-614,"-4,726",,
2014/11/26,保険,UFJ,ソンポジヤパン,"-2,530",,
2014/11/26,インターネット,UFJ,ヤフージャパン,-410,,
2014/11/27,保険,UFJ,DF.メツトライフホケン,"-6,580",,
2014/11/27,カード返済,UFJ,ラクテンカードサービス,"-56,079",,
2014/11/28,管理費,UFJ,RKS(カンリヒトウ,"-18,790",,
2014/11/28,灯油,楽天カード,ナガヌマ エスエス,"-3,132",,
2014/11/30,インターネット,楽天カード,インタ-ネツトヒカリ ゲツガク,"-3,580",,
2014/11/30,携帯電話,楽天カード,ドコモご利用料金 12ガツブン,"-15,820",,
2014/12/1,水道,UFJ,チバケンスイドウ,"-5,080",,
2014/12/4,カード返済,UFJ,セゾン,"-1,940",,
2014/12/5,給料,UFJ,シンワツウシンコウギヨウ(カ,"218,273",,
2014/12/7,ガソリン,楽天カード,ナガヌマ エスエス,"-5,270",,
2014/12/8,ローン,UFJ,ローン,"-68,764",,
2014/12/9,電気,楽天カード,東京電力 1412 5016983030505,"-7,654",,
2014/12/10,ATM引き出し,UFJ,ATM 引き出し,"-30,000",,
2014/12/14,ATM引き出し,UFJ,ATM 引き出し,"-30,000",,
2014/12/15,保険,UFJ,ケンミンキヨウサイ,"-10,000",,
2014/12/15,ボーナス,UFJ,シンワツウシンコウギヨウ(カ,"556,500",,
2014/12/15,振替,UFJ,ヤマザキ ユウキ,"-400,000",,
2014/12/18,ガス,楽天カード,トウキヨウガス 1195-614,"-5,025",,
2014/12/18,その他,楽天カード,楽天ブックス 754908,"-4,576",,
2014/12/20,ATM引き出し,UFJ,ATM 引き出し,"-30,000",,
2014/12/20,電話,楽天カード,NTT東日本 ご利用料金 01ガツブン,"-2,179",,
2014/12/21,灯油,楽天カード,ナガヌマ エスエス,"-2,700",,
2014/12/23,ATM引き出し,UFJ,イオンギンコウ,"-30,000",,
2014/12/23,手数料,UFJ,手数料,-108,,
2014/12/25,税金,UFJ,チバシコテイ,"-22,000",,
2014/12/26,給料,UFJ,シンワツウシンコウギヨウ(カ,"212,558",,
2014/12/26,保険,UFJ,ソンポジヤパン,"-2,530",,
2014/12/26,インターネット,UFJ,ヤフージャパン,-410,,
2014/12/28,ATM引き出し,UFJ,ATM 引き出し,"-50,000",,
2014/12/29,保険,UFJ,DF.メツトライフホケン,"-6,580",,
2014/12/29,管理費,UFJ,RKS(カンリヒトウ,"-18,790",,
2014/12/29,カード返済,UFJ,ラクテンカードサービス,"-41,696",,
